placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,monday,tuesday,wednesday,thursday,friday,saturday,sunday,currentStatus,imgUrl,isClaimed,latitude,longitude,query,timestamp,info
https://www.google.com/maps/place/Frituur+%27t+Frietmandje/data=!4m7!3m6!1s0x47c34d6d8f02482f:0xf20edb9279112855!8m2!3d51.120886!4d3.0906637!16s%2Fg%2F11c6z13ryd!19sChIJL0gCj21Nw0cRVSgReZLbDvI,Frituur 't Frietmandje,4.6,159,Frituur,· Dine-in · Takeaway · Delivery,"Engelstraat 21, 8211 Zedelgem, Belgium","43CR+97 Zedelgem, Belgium",http://frietmandje.be/,+32 476 55 13 25,Closed,Closed,"11:30 AM–1:30 PM, 5–9 PM","11:30 AM–1:30 PM, 5–9 PM","11:30 AM–1:30 PM, 5–9 PM","11:30 AM–1:30 PM, 5–9 PM",5–9 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipNvPDv70lAPKyzypPt8V3ViQiy57ifUnl41UZCF=w408-h408-k-no,true,51.12093750000001,3.0906875000000156,"https://www.google.com/maps/search/frituur/@51.0493232,3.2673059,11.48z?entry=ttu",2023-06-19T14:40:14.052Z,
https://www.google.com/maps/place/Frituur+poater/data=!4m7!3m6!1s0x47c335431a58a025:0x87dc3d1dc5a6a476!8m2!3d50.9438811!4d3.1249628!16s%2Fg%2F11mc6xb_kx!19sChIJJaBYGkM1w0cRdqSmxR093Ic,Frituur poater,4.4,69,Frituur,· Dine-in · Takeaway,"Patersstraat 5, 8800 Roeselare, Belgium","W4VF+HX Roeselare, Belgium",https://www.frituurpoater.be/,+32 474 01 59 16,"11:30 AM–1:30 PM, 5:30–11 PM","11:30 AM–1:30 PM, 5:30–11 PM","11:30 AM–1:30 PM, 5:30–11 PM","11:30 AM–1:30 PM, 5:30–11 PM","11:30 AM–1:30 PM, 5:30 PM–2:30 AM",5:30 PM–2:30 AM,5:30–9:30 PM,Closed,https://lh5.googleusercontent.com/p/AF1QipOBNXd2LJl-AR8j-0_CUPFWLTEPHVkTPFxA1sH2=w408-h725-k-no,true,50.94393749999999,3.1249375000000015,"https://www.google.com/maps/search/frituur/@51.0493232,3.2673059,11.48z?entry=ttu",2023-06-19T14:40:24.290Z,
https://www.google.com/maps/place/frituur+FRiTURAMA/data=!4m7!3m6!1s0x47c34d7262b01405:0x66f26e3591e2723d!8m2!3d51.1205421!4d3.0930968!16s%2Fg%2F11c1v1dm4m!19sChIJBRSwYnJNw0cRPXLikTVu8mY,frituur FRiTURAMA,4.5,90,Frituur,· Dine-in · Takeaway · Delivery,"Alfons Mervilliestraat 10, 8211 Zedelgem, Belgium","43CV+66 Zedelgem, Belgium",,+32 480 66 97 61,Closed,Closed,5:30–10 PM,5:30–10 PM,5:30 PM–12 AM,5:30–11 PM,5–10 PM,Closed today,https://lh5.googleusercontent.com/p/AF1QipP7sxPYCnyfGLvQDcp5DJpG-zoWiOBew2uh5cV4=w408-h306-k-no,true,51.12056249999999,3.093062499999988,"https://www.google.com/maps/search/frituur/@51.0493232,3.2673059,11.48z?entry=ttu",2023-06-19T14:40:32.398Z,
https://www.google.com/maps/place/Den+Tipzak/data=!4m7!3m6!1s0x47c3472521fd13bf:0xd4595b1ae3a15381!8m2!3d50.9977842!4d3.3207635!16s%2Fg%2F1tknzyxs!19sChIJvxP9ISVHw0cRgVOh4xpbWdQ,Den Tipzak,4.1,344,Frituur,· Dine-in · Takeaway · Delivery,"Deken Darraslaan 8, 8700 Tielt, Belgium","X8XC+48 Tielt, Belgium",http://www.frituur-dentipzak.be/,+32 470 43 48 40,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOiNB7eS38E5I6mgFXng22p3MUbxkvd-jcjK7Sr=w408-h306-k-no,true,50.997812499999995,3.320812500000031,"https://www.google.com/maps/search/frituur/@51.0493232,3.2673059,11.48z?entry=ttu",2023-06-19T14:40:40.087Z,
https://www.google.com/maps/place/Frituur+De+Rotonde/data=!4m7!3m6!1s0x47c335434f0dd04f:0x5c2bc374d3bd3204!8m2!3d50.9615526!4d3.0568349!16s%2Fg%2F11j08bs0br!19sChIJT9ANT0M1w0cRBDK903TDK1w,Frituur De Rotonde,4.5,28,Frituur,· Dine-in · Takeaway · Delivery,"Ieperstraat 172, 8830 Hooglede, Belgium","X364+JP Hooglede, Belgium",https://www.facebook.com/FrituurDeRotonde/,+32 498 59 50 27,Closed,"11:30 AM–1:30 PM, 5:30–9 PM","11:30 AM–1:30 PM, 5:30–9 PM","11:30 AM–1:30 PM, 5:30–9 PM","11:30 AM–1:30 PM, 5:30–9:30 PM","11:30 AM–1:30 PM, 5:30–9 PM",Closed,Closed today,https://lh5.googleusercontent.com/p/AF1QipMcNimFPGQjgLr595PTWFTXv3Dm-g4WJ-9dKgvI=w408-h883-k-no,true,50.96156249999997,3.0568124999999924,"https://www.google.com/maps/search/frituur/@51.0493232,3.2673059,11.48z?entry=ttu",2023-06-19T14:40:47.637Z,
https://www.google.com/maps/place/Mobiele+Frituur+-+Frietopia/data=!4m7!3m6!1s0x47c347370aaad41b:0x231d4419644a5260!8m2!3d51.0578758!4d3.435793!16s%2Fg%2F11fx_1k5rh!19sChIJG9SqCjdHw0cRYFJKZBlEHSM,Mobiele Frituur - Frietopia,3.6,7,Frituur,,,,http://www.frietopia-mobiel.be/,+32 474 57 96 40,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open now,https://lh5.googleusercontent.com/p/AF1QipOK14R6OWVJWC1_qdrHpoMvQ9ZxmlmqKw7fQS_T=w408-h306-k-no,true,,,"https://www.google.com/maps/search/frituur/@51.0493232,3.2673059,11.48z?entry=ttu",2023-06-19T14:40:52.220Z,
https://www.google.com/maps/place/Frituur+Voske+Ardooie/data=!4m7!3m6!1s0x47c3483a60f3712d:0xf5b0583f441815c3!8m2!3d50.9818374!4d3.2005144!16s%2Fg%2F11gfcz06cz!19sChIJLXHzYDpIw0cRwxUYRD9YsPU,Frituur Voske Ardooie,4.7,41,Frituur,· Dine-in · Takeaway · Delivery,"Stationsstraat 75, 8850 Ardooie, Belgium","X6J2+P6 Ardooie, Belgium",http://www.frituurvoske.be/,+32 478 36 91 12,Closed,Closed,"11:30 AM–1:30 PM, 5:30–10 PM","11:30 AM–1:30 PM, 5:30–10 PM","11:30 AM–1:30 PM, 5:30–10 PM","11:30 AM–1:30 PM, 5:30–10 PM","11:30 AM–1:30 PM, 5:30–10 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipNvN1O-OsX1kzpjdvSIszF2IslQ_TEpS_Ld4Ft4=w408-h306-k-no,true,50.981812499999975,3.2005624999999753,"https://www.google.com/maps/search/frituur/@51.0493232,3.2673059,11.48z?entry=ttu",2023-06-19T14:40:58.481Z,
https://www.google.com/maps/place/Friethuis+De+Mammoet/data=!4m7!3m6!1s0x47c335f63d9db89d:0xf5bddb19e10f1f02!8m2!3d50.9701558!4d3.1194321!16s%2Fg%2F11f3tyfyc8!19sChIJnbidPfY1w0cRAh8P4RnbvfU,Friethuis De Mammoet,4.5,111,Frituur,· Dine-in · Takeaway · Delivery,"Brugsesteenweg 449, 8800 Roeselare, Belgium","X4C9+3Q Roeselare, Belgium",,,Closed,5:30–9:30 PM,5:30–9:30 PM,5:30–9:30 PM,"11:30 AM–1:30 PM, 5:30–10 PM","11:30 AM–1:30 PM, 5:30–9:30 PM",Closed,Closed today,https://lh5.googleusercontent.com/p/AF1QipNtLnGeVfiHJsbgLbSADNKogZ14WPLKMPry6gkk=w408-h408-k-no,true,50.970187499999994,3.119437500000018,"https://www.google.com/maps/search/frituur/@51.0493232,3.2673059,11.48z?entry=ttu",2023-06-19T14:41:05.053Z,
https://www.google.com/maps/place/Frituur+%27t+Meulentje/data=!4m7!3m6!1s0x47c347e3eb324f6f:0x41d2241d821d9a67!8m2!3d50.9816934!4d3.240796!16s%2Fg%2F11bzx24pk2!19sChIJb08y6-NHw0cRZ5odgh0k0kE,Frituur 't Meulentje,4.5,139,Frituur,· Dine-in · Takeaway · Delivery,"Brugsesteenweg 87 B, 8740 Pittem, Belgium","X6JR+M8 Pittem, Belgium",https://www.frituur-tmeulentje.be/,+32 477 09 17 02,"11:30 AM–1:30 PM, 5:45–9:30 PM","11:30 AM–1:30 PM, 5:45–9:30 PM","11:30 AM–1:30 PM, 5:45–9:30 PM","11:30 AM–1:30 PM, 5:45–9:30 PM","11:30 AM–1:30 PM, 5:45–9:30 PM",Closed,Closed,Closed,https://lh5.googleusercontent.com/p/AF1QipPXUo-VzriztUT_VIppj9hBQgUBYB9_5H4rg_M=w408-h544-k-no,true,50.98168749999998,3.24081249999999,"https://www.google.com/maps/search/frituur/@51.0493232,3.2673059,11.48z?entry=ttu",2023-06-19T14:41:11.146Z,
https://www.google.com/maps/place/Frituur+-Eethuis+Siske/data=!4m7!3m6!1s0x47c3482a3a2c6dd1:0x702626a35e9777b3!8m2!3d50.970787!4d3.1904235!16s%2Fg%2F11c575d3jf!19sChIJ0W0sOipIw0cRs3eXXqMmJnA,Frituur -Eethuis Siske,4.3,309,Frituur,· Dine-in · Takeaway,"Roeselaarsestraat 26, 8850 Ardooie, Belgium","X5CR+85 Ardooie, Belgium",http://www.frituursiske.be/,+32 471 46 57 69,Closed,11:30 AM–1:30 PM,"11:30 AM–1:30 PM, 5:30–9 PM","11:30 AM–1:30 PM, 5:30–9 PM","11:30 AM–1:30 PM, 5:30–9:30 PM","11:30 AM–1:30 PM, 5:30–9:30 PM","11:30 AM–1:30 PM, 5:30–9 PM",Closed today,https://lh5.googleusercontent.com/p/AF1QipPlZbczx1aBE2R5vRkgXRqA-leKrWuaMrpXKc6n=w408-h272-k-no,true,50.97081250000001,3.1904374999999874,"https://www.google.com/maps/search/frituur/@51.0493232,3.2673059,11.48z?entry=ttu",2023-06-19T14:41:16.657Z,
